Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
13.75,0.0791,0.6504,-0.8118,1.94,0.45,-0.47
13.86,0.0710,0.6582,-0.7949,-0.07,0.32,-0.28
13.96,0.0720,0.6575,-0.7983,-0.31,0.50,-0.37
14.07,0.0681,0.6562,-0.7986,-0.15,0.52,-0.32
14.17,0.0706,0.6580,-0.8042,-0.22,0.73,-0.56
14.28,0.0728,0.6577,-0.8054,-0.05,0.75,-0.20
14.39,0.0757,0.6709,-0.7998,-0.08,0.82,-0.44
14.49,0.0684,0.6575,-0.8154,-0.17,0.43,-0.49
14.60,0.0652,0.6604,-0.8130,-0.15,0.37,-0.44
14.70,0.0745,0.6597,-0.7888,-0.40,0.79,-0.34
14.81,0.0723,0.6572,-0.8108,-1.94,0.82,-0.43
14.91,0.0701,0.6506,-0.8196,-0.32,0.69,-0.30
15.02,0.0664,0.6592,-0.7986,-0.19,0.64,-0.45
15.13,0.0713,0.6553,-0.8054,-0.31,0.74,-0.28
15.23,0.0679,0.6497,-0.8042,0.02,0.26,-0.63
15.34,0.0701,0.6572,-0.8069,-0.16,0.69,-0.37
15.44,0.0735,0.6562,-0.8062,-0.14,0.93,-0.61
15.55,0.0720,0.6572,-0.8252,0.05,0.40,-0.59
15.65,0.0664,0.6418,-0.8054,-0.17,0.60,-0.59
15.76,0.0740,0.6562,-0.8054,-0.04,0.69,-0.40
15.86,0.0720,0.6594,-0.7998,-0.09,0.57,-0.37
15.97,0.0703,0.6553,-0.8049,-0.17,0.58,-0.37
16.08,0.0752,0.6626,-0.8113,-0.11,0.73,-0.31
16.18,0.0686,0.6616,-0.7979,-0.02,0.41,-0.39
16.29,0.0684,0.6616,-0.7983,-0.04,0.85,-0.24
16.39,0.0735,0.6528,-0.8054,-0.06,0.45,-0.38
16.50,0.0737,0.6575,-0.8052,-0.17,0.56,-0.55
16.60,0.0679,0.6570,-0.7986,1.89,0.77,-0.56
16.71,0.0769,0.6504,-0.8135,-0.18,0.82,-0.34
16.81,0.0737,0.6580,-0.8020,-0.16,0.73,-0.30
16.92,0.0725,0.6597,-0.8230,-0.15,0.28,-0.39
17.03,0.0752,0.6572,-0.8040,-0.15,0.98,-0.50
17.13,0.0723,0.6689,-0.8018,-0.22,0.85,-0.49
17.24,0.0723,0.6567,-0.8057,-0.22,0.59,-0.35
17.34,0.0747,0.6558,-0.8162,-0.05,0.75,-0.44
17.45,0.0708,0.6584,-0.8079,-0.15,0.57,-0.24
17.55,0.0693,0.6582,-0.8079,-0.06,0.89,-0.41
17.66,0.0664,0.6697,-0.8005,-0.10,0.57,-0.53
17.76,0.0701,0.6558,-0.8066,0.02,0.35,-0.40
17.87,0.0684,0.6501,-0.8030,-0.15,0.80,-0.37
17.97,0.0732,0.6631,-0.8162,-0.10,0.87,-0.31
18.08,0.0657,0.6470,-0.8137,-0.14,0.28,-0.48
18.18,0.0684,0.6416,-0.8083,-0.31,0.44,-0.21
18.29,0.0730,0.6543,-0.8201,-0.02,0.28,-0.30
18.40,0.0706,0.6533,-0.8113,-0.03,0.54,-0.31
18.50,0.0730,0.6580,-0.7988,-0.09,0.55,-0.39
18.61,0.0684,0.6562,-0.8027,-0.15,0.53,-0.29
18.71,0.0688,0.6638,-0.8115,-0.12,0.73,-0.15
18.82,0.0710,0.6675,-0.7971,-0.28,0.52,-0.39
18.92,0.0728,0.6531,-0.8142,-0.16,0.36,-0.46
19.03,0.0657,0.6545,-0.8057,-0.10,0.44,-0.35
19.13,0.0713,0.6592,-0.8030,-0.32,1.13,-0.25
19.24,0.0710,0.6641,-0.8159,-0.19,0.76,-0.40
19.34,0.0735,0.6538,-0.8113,-0.24,0.44,-0.56
19.45,0.0703,0.6440,-0.8003,-0.16,0.25,-0.48
19.55,0.0710,0.6443,-0.8025,-0.26,0.76,-0.33
19.66,0.0771,0.6553,-0.8108,-0.17,0.79,-0.50
19.76,0.0747,0.6572,-0.7964,-0.21,0.41,-0.41
19.87,0.0640,0.6582,-0.8054,-0.18,0.98,-0.35
19.98,0.0745,0.6538,-0.8101,-0.05,0.38,-0.24
20.08,0.0750,0.6555,-0.7957,-0.08,0.24,-0.44
20.19,0.0696,0.6567,-0.7957,-0.38,0.34,-0.32
20.29,0.0718,0.6599,-0.8027,-0.13,0.69,-0.31
20.40,0.0728,0.6577,-0.8037,-0.28,0.39,-0.42
20.50,0.0732,0.6504,-0.8020,-0.15,0.24,-0.59
20.61,0.0691,0.6709,-0.7866,-0.09,0.59,-0.59
20.71,0.0720,0.6682,-0.8086,-0.20,0.56,-0.61
20.82,0.0684,0.6438,-0.8047,-0.24,0.23,-0.37
